country_code,Year,Month,day,month_year,total_passengers_official,Domestic,International,total_passengers_open
AUS,2014,1,1,January 2014,7992.0,4790.0,3202.0,12600.04
AUS,2014,2,1,February 2014,6697.0,4207.0,2490.0,10731.179
AUS,2014,3,1,March 2014,7277.0,4745.0,2532.0,11823.253
AUS,2014,4,1,April 2014,7467.0,4757.0,2710.0,12026.674
AUS,2014,5,1,May 2014,6977.0,4529.0,2449.0,11312.633
AUS,2014,6,1,June 2014,7033.0,4447.0,2585.0,11296.644
AUS,2014,7,1,July 2014,7956.0,4998.0,2957.0,12768.295
AUS,2014,8,1,August 2014,7540.0,4796.0,2744.0,12158.529
AUS,2014,9,1,September 2014,7586.0,4805.0,2781.0,12210.658
AUS,2014,10,1,October 2014,8093.0,5239.0,2855.0,13140.036
AUS,2014,11,1,November 2014,7436.0,4767.0,2669.0,12001.636
AUS,2014,12,1,December 2014,8046.0,4886.0,3160.0,12757.249
AUS,2015,1,1,January 2015,7914.0,4631.0,3283.0,12385.241
AUS,2015,2,1,February 2015,6835.0,4183.0,2652.0,10859.13
AUS,2015,3,1,March 2015,7594.0,4792.0,2802.0,12200.75
AUS,2015,4,1,April 2015,7469.0,4722.0,2747.0,12013.986
AUS,2015,5,1,May 2015,7029.0,4502.0,2527.0,11354.829
AUS,2015,6,1,June 2015,7121.0,4433.0,2689.0,11379.639
AUS,2015,7,1,July 2015,8203.0,5113.0,3089.0,13129.639
AUS,2015,8,1,August 2015,7638.0,4767.0,2871.0,12226.35
AUS,2015,9,1,September 2015,7800.0,4867.0,2933.0,12483.423
AUS,2015,10,1,October 2015,8181.0,5159.0,3022.0,13143.209
AUS,2015,11,1,November 2015,7741.0,4918.0,2824.0,12457.305
AUS,2015,12,1,December 2015,8456.0,5028.0,3428.0,13294.981
AUS,2016,1,1,January 2016,8353.0,4793.0,3560.0,12974.713
AUS,2016,2,1,February 2016,7376.0,4441.0,2936.0,11631.188
AUS,2016,3,1,March 2016,7958.0,4949.0,3009.0,12704.455
AUS,2016,4,1,April 2016,7773.0,4814.0,2959.0,12384.42
AUS,2016,5,1,May 2016,7329.0,4638.0,2691.0,11764.387
AUS,2016,6,1,June 2016,7485.0,4579.0,2906.0,11868.052
AUS,2016,7,1,July 2016,8564.0,5156.0,3408.0,13516.474
AUS,2016,8,1,August 2016,7920.0,4857.0,3063.0,12562.129
AUS,2016,9,1,September 2016,8205.0,5029.0,3176.0,13025.711
AUS,2016,10,1,October 2016,8436.0,5210.0,3226.0,13435.015
AUS,2016,11,1,November 2016,8047.0,5022.0,3026.0,12851.41
AUS,2016,12,1,December 2016,8766.0,5108.0,3658.0,13668.07
AUS,2017,1,1,January 2017,8746.0,4944.0,3802.0,13495.49
AUS,2017,2,1,February 2017,7298.0,4327.0,2971.0,11445.309
AUS,2017,3,1,March 2017,8031.0,4971.0,3059.0,12787.257
AUS,2017,4,1,April 2017,8215.0,4908.0,3308.0,12922.235
AUS,2017,5,1,May 2017,7583.0,4712.0,2871.0,12080.063
AUS,2017,6,1,June 2017,7755.0,4661.0,3094.0,12204.838
AUS,2017,7,1,July 2017,8809.0,5269.0,3541.0,13861.121
AUS,2017,8,1,August 2017,8197.0,4947.0,3250.0,12884.27
AUS,2017,9,1,September 2017,8367.0,5036.0,3330.0,13190.219
AUS,2017,10,1,October 2017,8754.0,5384.0,3370.0,13909.423
AUS,2017,11,1,November 2017,8373.0,5181.0,3192.0,13325.637
AUS,2017,12,1,December 2017,9037.0,5210.0,3827.0,14038.212
AUT,2010,1,1,January 2010,1616.764,58.839,1557.925,1682.538
AUT,2010,2,1,February 2010,1594.077,56.496,1537.581,1656.809
AUT,2010,3,1,March 2010,1908.254,66.905,1841.349,1981.826
AUT,2010,4,1,April 2010,1624.357,55.7,1568.657,1687.948
AUT,2010,5,1,May 2010,2080.848,65.071,2015.777,2157.512
AUT,2010,6,1,June 2010,2151.684,66.718,2084.966,2236.175
AUT,2010,7,1,July 2010,2401.499,63.735,2337.764,2484.734
AUT,2010,8,1,August 2010,2356.612,61.833,2294.779,2438.407
AUT,2010,9,1,September 2010,2280.317,72.0,2208.317,2374.503
AUT,2010,10,1,October 2010,2085.698,71.383,2014.315,2176.753
AUT,2010,11,1,November 2010,1740.819,65.968,1674.851,1817.508
AUT,2010,12,1,December 2010,1691.526,57.468,1634.058,1763.814
AUT,2011,1,1,January 2011,1711.33,60.509,1650.821,1777.677
AUT,2011,2,1,February 2011,1667.77,59.811,1607.959,1730.343
AUT,2011,3,1,March 2011,1977.449,68.759,1908.69,2047.369
AUT,2011,4,1,April 2011,2015.846,54.77,1961.076,2067.068
AUT,2011,5,1,May 2011,2192.972,57.841,2135.131,2253.256
AUT,2011,6,1,June 2011,2279.147,51.863,2227.284,2333.315
AUT,2011,7,1,July 2011,2553.335,52.868,2500.467,2610.437
AUT,2011,8,1,August 2011,2461.844,48.947,2412.897,2514.276
AUT,2011,9,1,September 2011,2442.374,57.654,2384.72,2508.527
AUT,2011,10,1,October 2011,2169.417,53.775,2115.642,2229.285
AUT,2011,11,1,November 2011,1825.947,52.189,1773.758,1880.677
AUT,2011,12,1,December 2011,1840.181,44.67,1795.511,1883.334
AUT,2012,1,1,January 2012,1801.994,50.187,1751.807,1850.551
AUT,2012,2,1,February 2012,1810.625,54.098,1756.527,1865.04
AUT,2012,3,1,March 2012,2133.74,61.032,2072.708,2195.064
AUT,2012,4,1,April 2012,2144.869,50.114,2094.755,2193.159
AUT,2012,5,1,May 2012,2253.364,54.706,2198.658,2309.65
AUT,2012,6,1,June 2012,2394.37,55.998,2338.372,2454.177
AUT,2012,7,1,July 2012,2545.147,51.556,2493.591,2598.368
AUT,2012,8,1,August 2012,2493.086,46.282,2446.804,2538.52
AUT,2012,9,1,September 2012,2502.746,56.901,2445.845,2561.5
AUT,2012,10,1,October 2012,2215.188,56.215,2158.973,2269.836
AUT,2012,11,1,November 2012,1827.408,51.762,1775.646,1876.891
AUT,2012,12,1,December 2012,1843.44,45.825,1797.615,1883.352
AUT,2013,1,1,January 2013,1762.653,46.59,1716.063,1803.576
AUT,2013,2,1,February 2013,1733.91,47.94,1685.97,1777.25
AUT,2013,3,1,March 2013,2150.535,55.356,2095.179,2201.494
AUT,2013,4,1,April 2013,2029.996,52.036,1977.96,2079.384
AUT,2013,5,1,May 2013,2239.011,50.007,2189.004,2287.695
AUT,2013,6,1,June 2013,2408.193,57.791,2350.402,2465.463
AUT,2013,7,1,July 2013,2513.804,52.007,2461.797,2561.796
AUT,2013,8,1,August 2013,2537.606,47.393,2490.213,2582.021
AUT,2013,9,1,September 2013,2451.674,58.67,2393.004,2507.801
AUT,2013,10,1,October 2013,2230.866,58.248,2172.618,2286.045
AUT,2013,11,1,November 2013,1817.948,50.801,1767.147,1867.408
AUT,2013,12,1,December 2013,1873.528,44.446,1829.082,1914.073
AUT,2014,1,1,January 2014,1807.004,45.671,1761.333,1847.985
AUT,2014,2,1,February 2014,1779.141,47.773,1731.368,1823.065
AUT,2014,3,1,March 2014,2108.523,53.182,2055.341,2157.269
AUT,2014,4,1,April 2014,2189.347,48.62,2140.727,2233.684
AUT,2014,5,1,May 2014,2330.573,49.781,2280.792,2382.162
AUT,2014,6,1,June 2014,2483.1,50.612,2432.488,2539.313
AUT,2014,7,1,July 2014,2571.197,45.891,2525.306,2619.479
AUT,2014,8,1,August 2014,2645.521,42.866,2602.655,2695.96
AUT,2014,9,1,September 2014,2519.181,53.872,2465.309,2580.047
AUT,2014,10,1,October 2014,2267.695,53.444,2214.251,2326.106
AUT,2014,11,1,November 2014,1806.834,47.772,1759.062,1859.274
AUT,2014,12,1,December 2014,1870.56,39.511,1831.049,1913.341
AUT,2015,1,1,January 2015,1751.044,38.497,1712.547,1794.667
AUT,2015,2,1,February 2015,1718.104,40.494,1677.61,1763.492
AUT,2015,3,1,March 2015,2100.017,49.578,2050.439,2153.341
AUT,2015,4,1,April 2015,2182.653,40.618,2142.035,2225.22
AUT,2015,5,1,May 2015,2363.428,43.331,2320.097,2408.606
AUT,2015,6,1,June 2015,2520.214,45.867,2474.347,2571.94
AUT,2015,7,1,July 2015,2739.213,41.815,2697.398,2781.009
AUT,2015,8,1,August 2015,2775.665,39.414,2736.251,2815.911
AUT,2015,9,1,September 2015,2622.134,53.111,2569.023,2678.217
